[22,2,17],
[22,3,17],
[22,4,17],
[22,5,18],
[22,6,20],
[22,7,21],
[22,8,23],
[22,9,25],
[22,10,26],
[22,11,28],
[22,12,30],
[22,13,31],
[22,14,33],
[22,15,35],
[22,16,37],
[22,17,39],
[22,18,41],
[22,19,42],
[22,20,44],
[22,21,46],
[22,22,48],
[22,23,50],
[22,24,52],
[22,25,54],
[22,26,56],
[22,27,58],
[22,28,60],
[22,29,62],
[22,30,63],
[22,31,65],
[22,32,67],
[22,33,69],
[22,34,71],
[22,35,73],
[22,36,75],
[22,37,77],
[22,38,79],
[22,39,81],
[22,40,83],
[22,41,85],
[22,42,87],
[22,43,89],
[22,44,91],
[22,45,93],
[22,46,95],
[22,47,97],
[22,48,99],
[22,49,101],
[22,50,103],
[22,51,105],
[22,52,107],
[22,53,109],
[22,54,111],
[22,55,113],
[22,56,115],
[22,57,117],
[22,61,124],
[22,62,126],
[22,63,128],
[22,64,130],
[22,65,132],
[22,66,134],
[22,67,136],
[22,68,138],
[22,69,140],
[22,70,142],
[22,71,144],
[22,72,146],
[22,73,148],
[22,74,150],
[22,75,152],
[22,76,154],
[22,77,156],
[22,78,158],
[22,79,160],
[22,80,162],
[22,81,164],
[22,82,166],
[22,83,168],
[22,84,170],
[22,85,172],
[22,86,174],
[22,87,176],
[22,88,178],
[22,89,180],
[22,90,182],
[22,91,184],
[22,92,186],
[22,93,188],
[22,94,190],
[22,95,192],
[22,96,194],
[22,97,196],
[22,98,198],
[22,99,200],
[22,100,202],
[22,101,204],
[22,102,206],
[22,103,208],
[22,104,210],
[22,105,212],
[22,106,214],
[22,107,216],
[22,108,218],
[22,109,220],
[22,110,222],
[22,111,224],
[22,112,226],
[22,113,228],
[22,114,230],
[22,115,232],
[22,116,234],
[22,117,236],
[23,0,15],
[23,1,15],
[23,2,15],
[23,3,16],
[23,4,17],
[24,-1,14],
[24,0,14],
[24,1,14],
[24,2,14],
[25,-3,13],
[25,-2,13],
[25,-1,13],
[25,0,13],
[25,1,13],
[25,2,14],
[26,-4,12],
[26,-3,12],
[26,-2,12],
[26,-1,12],
[26,0,12],
[27,-5,11],
[27,-4,11],
[27,-3,11],
[27,-2,11],
[27,-1,11],
[27,0,12],
[28,-7,10],
[28,-6,10],
[28,-5,10],
[28,-4,10],
[28,-3,10],
[28,-2,10],
[28,-1,11],
[29,-7,10],
[29,-6,10],
[29,-5,10],
[29,-4,10],
[29,-3,10],
[29,-2,10],
[30,-7,10],
[30,-6,10],
[30,-5,10],
[30,-4,10],
[30,-3,10],
[30,-2,10],
[31,-9,9],
[31,-8,9],
[31,-7,9],
[31,-6,9],
[31,-5,9],
[31,-4,9],
[31,-3,9],
[32,-9,9],
[32,-8,9],
[32,-7,9],
[32,-6,9],
[32,-5,9],
[32,-4,9],
[32,-3,9],
[33,-11,8],
[33,-10,8],
[33,-9,8],
[33,-8,8],
[33,-7,8],
[33,-6,8],
[33,-5,8],
[34,-11,8],
[34,-10,8],
[34,-9,8],
[34,-8,8],
[34,-7,8],
[34,-6,8],
[34,-5,8],
[35,-11,8],
[35,-10,8],
[35,-9,8],
[35,-8,8],
[35,-7,8],
[35,-6,8],
[35,-5,8],
[37,-13,7],
[37,-12,7],
[37,-11,7],
[37,-10,7],
[37,-9,7],
[37,-8,7],
[37,-7,7],
[37,-6,7],
[38,-13,7],
[38,-12,7],
[38,-11,7],
[38,-10,7],
[38,-9,7],
[38,-8,7],
[38,-7,7],
[38,-6,7],
[39,-13,7],
[39,-12,7],
[39,-11,7],
[39,-10,7],
[39,-9,7],
[39,-8,7],
[39,-7,7],
[39,-6,7],
[40,-13,7],
[40,-12,7],
[40,-11,7],
[40,-10,7],
[40,-9,7],
[40,-8,7],
[40,-7,7],
[40,-6,7],
[42,-17,6],
[42,-16,6],
[42,-15,6],
[42,-14,6],
[42,-13,6],
[42,-12,6],
[42,-11,6],
[42,-10,6],
[42,-9,6],
[42,-8,6],
[43,-17,6],
[43,-16,6],
[43,-15,6],
[43,-14,6],
[43,-13,6],
[43,-12,6],
[43,-11,6],
[43,-10,6],
[43,-9,6],
[43,-8,6],
[44,-17,6],
[44,-16,6],
[44,-15,6],
[44,-14,6],
[44,-13,6],
[44,-12,6],
[44,-11,6],
[44,-10,6],
[44,-9,6],
[44,-8,6],
[45,-17,6],
[45,-16,6],
[45,-15,6],
[45,-14,6],
[45,-13,6],
[45,-12,6],
[45,-11,6],
[45,-10,6],
[45,-9,6],
[45,-8,6],
[49,-21,5],
[49,-20,5],
[49,-19,5],
[49,-18,5],
[49,-17,5],
[49,-16,5],
[49,-15,5],
[49,-14,5],
[49,-13,5],
[49,-12,5],
[49,-11,5],
[50,-21,5],
[50,-20,5],
[50,-19,5],
[50,-18,5],
[50,-17,5],
[50,-16,5],
[50,-15,5],
[50,-14,5],
[50,-13,5],
